Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Alta Floresta D'Oeste (RO),Total,Total,162,307,10,11,1,2,6,5,81,1,4,32,30,,3,1,1,2,,6,,,130,277,10,8,,1,4,5,75,1,4,39,87,3,3,,1,2,3,19,1,4,89,187,7,5,,,2,2,54,,,2,3,,,,,,,2,,,34,33,,3,1,1,2,,8,,,128,274,10,8,,1,4,5,73,1,4
Alta Floresta D'Oeste (RO),Total,Produção de lavouras temporárias,19,25,4,1,,,,,6,,1,7,5,,,,,,,1,,,12,20,4,1,,,,,5,,1,9,11,,1,,,,,1,,1,3,8,4,,,,,,3,,,,1,,,,,,,1,,,7,6,,,,,,,2,,,12,19,4,1,,,,,4,,1
Ariquemes (RO),Total,Total,33,10,,1,2,2,16,2,26,2,1,5,2,,,1,,3,1,7,1,,28,8,,1,1,2,13,1,19,1,1,13,3,,,,1,6,1,7,1,,15,5,,1,1,1,7,,12,,1,,,,,,,,,,,,5,2,,,1,,3,1,7,1,,28,8,,1,1,2,13,1,19,1,1
Ariquemes (RO),Total,Produção de lavouras temporárias,4,4,,,,,2,2,6,,,,1,,,,,,1,2,,,4,3,,,,,2,1,4,,,3,1,,,,,1,1,1,,,1,2,,,,,1,,3,,,,,,,,,,,,,,,1,,,,,,1,2,,,4,3,,,,,2,1,4,,
Cabixi (RO),Total,Total,8,,1,,,,1,5,10,3,6,5,,,,,,,4,2,2,,3,,1,,,,1,1,8,1,6,2,,,,,,,,5,1,1,1,,1,,,,,1,3,,5,,,,,,,1,,,,,5,,,,,,1,1,1,2,,3,,1,,,,,4,9,1,6
Cabixi (RO),Total,Produção de lavouras temporárias,2,,,,,,1,3,2,,,2,,,,,,,3,,,,,,,,,,1,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,1,,,,,,,,,,,,3,2,,
Cacoal (RO),Total,Total,100,301,14,,,4,23,7,482,5,13,10,23,,,,1,,,17,,,90,278,14,,,3,23,7,465,5,13,41,103,8,,,,13,2,202,1,9,49,173,6,,,3,10,5,263,4,4,,2,,,,,,,,,,10,25,,,,1,,,17,,,90,276,14,,,3,23,7,465,5,13
Cacoal (RO),Total,Produção de lavouras temporárias,10,5,,,,,3,,15,,1,3,2,,,,,,,,,,7,3,,,,,3,,15,,1,5,1,,,,,1,,9,,1,2,2,,,,,2,,6,,,,,,,,,,,,,,3,2,,,,,,,,,,7,3,,,,,3,,15,,1
Cerejeiras (RO),Total,Total,15,5,,2,1,2,1,2,16,,4,5,1,,,,,,1,4,,1,10,4,,2,1,2,1,1,12,,3,5,4,,1,1,1,1,,,,2,5,,,1,,1,,1,11,,1,,,,,,,,,1,,,5,1,,,,,,,5,,1,10,4,,2,1,2,1,2,11,,3
Cerejeiras (RO),Total,Produção de lavouras temporárias,4,,,,,,,,1,,,2,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,,
Colorado do Oeste (RO),Total,Total,27,7,,,,1,7,5,8,,8,6,1,,,,,2,1,3,,1,21,6,,,,1,5,4,5,,7,10,1,,,,,,1,1,,3,11,5,,,,1,5,3,4,,4,,,,,,,,,,,,6,1,,,,,2,1,3,,1,21,6,,,,1,5,4,5,,7
Colorado do Oeste (RO),Total,Produção de lavouras temporárias,4,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,2,2,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2
Corumbiara (RO),Total,Total,6,,,1,,,1,3,2,,5,2,,,,,,,1,,,,4,,,1,,,1,2,2,,5,1,,,,,,,,,,2,3,,,1,,,1,2,2,,3,,,,,,,,,,,,2,,,,,,,1,,,,4,,,1,,,1,2,2,,5
Corumbiara (RO),Total,Produção de lavouras temporárias,2,,,1,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,1
Costa Marques (RO),Total,Total,8,4,1,,,,,1,7,,21,2,,,,,,,,2,,2,6,4,1,,,,,1,5,,19,,1,,,,,,1,1,,7,6,3,1,,,,,,4,,12,,,,,,,,,,,,2,,,,,,,,2,,2,6,4,1,,,,,1,5,,19
Costa Marques (RO),Total,Produção de lavouras temporárias,2,,1,,,,,,1,,5,,,,,,,,,1,,,2,,1,,,,,,,,5,,,,,,,,,,,3,2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,5
Espigão D'Oeste (RO),Total,Total,30,28,2,3,,1,1,3,23,8,11,5,3,2,1,,,,1,2,,1,25,25,,2,,1,1,2,21,8,10,14,16,,1,,,,,12,5,6,11,9,,1,,1,1,2,9,3,4,,,,,,,,,,,,5,3,1,,,,,1,2,,1,25,25,1,3,,1,1,2,21,8,10
Espigão D'Oeste (RO),Total,Produção de lavouras temporárias,,2,1,1,,,,,,,4,,,1,1,,,,,,,,,2,,,,,,,,,4,,1,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,4
Guajará-Mirim (RO),Total,Total,10,3,,,,,,,6,,23,1,1,,,,,,,2,,1,9,2,,,,,,,4,,22,2,,,,,,,,2,,14,7,2,,,,,,,2,,8,,,,,,,,,,,,1,1,,,,,,,2,,1,9,2,,,,,,,4,,22
